IPA,Arpabet (do not use),Input ID,Viseme
a,,1,A
b,,2,F
tʃ,,3,S
d,,4,F
e,,5,E
f,,6,F
ɡ,,7,Q
h,,8,Q
i,,9,E
dʒ,,10,S
k,,11,Q
l,,12,E
m,,13,F
n,,14,Q
o,,15,O
p,,16,Q
r,,17,Q
s,,18,S
t,,19,S
u,,20,O
v,,21,F
w,,22,O
j,,23,Q
z,,24,S
ŋ,,25,S
ə,,26,E
ɲ,,27,E
ʃ,,28,S
x,,29,Q
ʔ,,30,Q
!,,31,-
",",,32,-
.,,33,-
?,,34,-
;,,35,-
:,,36,-
