IPA,Arpabet (do not use),Input ID,Viseme
f,,16,F
h,,17,A
i,,18,E
j,,19,E
k,,20,S
l,,21,S
m,,22,F
n,,23,S
p,,24,F
s,,25,S
t,,26,S
t͡ʃ,,27,S
u,,28,Q
v,,29,F
w,,30,Q
x,,31,Q
z,,32,S
ð,,33,S
ŋ,,34,S
ɑ,,35,A
ɓ,,36,S
ɔ,,37,O
ɗ,,38,S
ɛ,,39,E
ɠ,,40,S
ɣ,,41,S
ɾ,,42,Q
ʃ,,43,S
ʄ,,44,S
θ,,45,S
ᵐɓ,,46,S
ᵑg,,47,S
ᶬv,,48,F
ⁿz,,49,S
ⁿɗ,,50,S
ⁿɗ͡ʒ,,51,S
!,,4,-
",",,10,-
.,,12,-
?,,15,-
;,,14,-
:,,13,-
