id,word,plural,cmuarpaInputIds,cmuarpaPluralInputIds,cmuarpaVisemes,cmuarpaPluralVisemes
008ac2b3-a1ba-4dcb-8e32-df7752137f9b,aquatic,aquatics,"[20, 63, 91, 13, 80, 55, 63]","[20, 63, 91, 13, 80, 55, 63, 78]","['A', 'S', 'Q', 'O', 'S', 'E', 'S']","['A', 'S', 'Q', 'O', 'S', 'E', 'S', 'S']"
008ba311-89d8-4138-96b8-41badcd62c06,heading,headings,"[53, 41, 37, 55, 67]","[53, 41, 37, 55, 67, 93]","['A', 'E', 'S', 'E', 'S']","['A', 'E', 'S', 'E', 'S', 'S']"
009211a6-e78d-45d4-8a6a-9333770c9a74,plc,plcs,"[76, 41, 64, 63, 49]","[76, 41, 64, 63, 78]","['F', 'E', 'S', 'S', 'A']","['F', 'E', 'S', 'S', 'S']"
009268da-5141-4b2c-b792-8f526744ba3d,mumble,mumbles,"[65, 21, 65, 35, 20, 64]","[65, 21, 65, 35, 20, 64, 93]","['F', 'A', 'F', 'S', 'A', 'S']","['F', 'A', 'F', 'S', 'A', 'S', 'S']"
009736d5-52f5-40ef-a4f5-b3d4c9bd643a,nominal,nominals,"[66, 13, 65, 20, 66, 20, 64]","[66, 13, 65, 20, 66, 20, 64, 93]","['S', 'O', 'F', 'A', 'S', 'A', 'S']","['S', 'O', 'F', 'A', 'S', 'A', 'S', 'S']"
009b39bf-4d44-4305-9fc2-2994ed0f17fd,lakebed,lakebeds,"[64, 49, 63, 35, 42, 37]","[64, 49, 63, 35, 42, 37, 93]","['S', 'A', 'S', 'S', 'E', 'S']","['S', 'A', 'S', 'S', 'E', 'S', 'S']"
009b6a3d-46f2-43b9-bff9-f1ad4c6d462e,consumed,consumed,"[63, 20, 66, 78, 88, 65, 37]","[63, 20, 66, 78, 88, 65, 37]","['S', 'A', 'S', 'S', 'Q', 'F', 'S']","['S', 'A', 'S', 'S', 'Q', 'F', 'S']"
009df1c2-a8f9-44ad-aa5f-ec993429255e,cunt,cunts,"[63, 21, 66, 80]","[63, 21, 66, 80, 78]","['S', 'A', 'S', 'S']","['S', 'A', 'S', 'S', 'S']"
009e4401-4067-45a4-920d-ca80c7a4f405,shopper,shoppers,"[79, 13, 76, 44]","[79, 13, 76, 44, 93]","['S', 'O', 'F', 'E']","['S', 'O', 'F', 'E', 'S']"
00a0e8b8-0318-4d6d-9662-a0be337d428b,push-up,push-ups,"[76, 84, 79, 22, 76]","[76, 84, 79, 22, 76, 78]","['F', 'Q', 'S', 'A', 'F']","['F', 'Q', 'S', 'A', 'F', 'S']"
00b2da6e-f079-49ca-a412-a785ada802d5,demanded,demanded,"[37, 55, 65, 17, 66, 37, 20, 37]","[37, 55, 65, 17, 66, 37, 20, 37]","['S', 'E', 'F', 'A', 'S', 'S', 'A', 'S']","['S', 'E', 'F', 'A', 'S', 'S', 'A', 'S']"
00b6153e-20c5-4f73-82bd-8f762d40069f,accompanying,accompanyings,"[20, 63, 21, 65, 76, 20, 66, 59, 55, 67]","[20, 63, 21, 65, 76, 20, 66, 59, 93, 55, 67]","['A', 'S', 'A', 'F', 'F', 'A', 'S', 'E', 'E', 'S']","['A', 'S', 'A', 'F', 'F', 'A', 'S', 'E', 'S', 'E', 'S']"
