id,word,plural,syllable,syllablePlural,ukipa,usipa,ukipaPlural,usipaPlural,inUse,pluralInUse
00bbe12f-21c1-4767-929e-349c113c6134,morgue,morgues,morgue,morgues,mɔːɡ,mɔːɡ,mɔːɡz,mɔɹɡz,FALSE,FALSE
00c93421-1f07-4f08-8f03-0f5874184623,viking,vikings,vi.king,vi.kings,vaɪkɪŋ,vaɪkɪŋ,,,FALSE,FALSE
00ca0ff5-928e-4e8f-b85a-438b2fa3487d,suspended,suspendeds,,,,,,,FALSE,FALSE
00cbbd3c-11e8-415e-bc7e-c30c280b20eb,abstraction,abstractions,ab.strac.tion,abstractions,æbˈstɹækʃən,æbˈstɹækʃən,æbˈstɹækʃənz,æbˈstɹækʃənz,FALSE,FALSE
00cdc6b4-d099-4646-b863-92f11bb49e15,proud,prouds,proud,prouds,pɹaʊd,pɹaʊd,pɹaʊdz,pɹaʊdz,TRUE,FALSE
00d42ce0-b3b9-4f7e-aaf5-ed3562e24d00,adhere,adheres,ad.here,ad.heres,,,,,FALSE,FALSE
00d53c67-277d-4995-8f39-eb0b0d05cc6f,laughable,laughables,laugh.a.ble,laugh.a.bles,læf.ə.bəl,læf.ə.bəl,,,FALSE,FALSE
00da4997-0cc1-4c31-a6b6-4508cf136723,delicately,delicatelies,del.i.cate.ly,del.i.cate.lies,dɛl.ə.kət.li,dɛl.ə.kət.li,,,FALSE,FALSE
00def764-2c6d-4420-87f6-01904d417ffe,greatest,greatest,great.est,greatest,ɡɹɛɪt.ɪst,ɡɹɛɪt.ɪst,ˈɡɹɛɪtɪst,ˈɡɹɛɪtəst,FALSE,FALSE
00e10aa2-b3f7-4126-9c3f-8b377b3ad52a,really,really,real.ly,real.ly,ɹiɹː.li,ɹiɹː.li,,,TRUE,TRUE
00e54b68-9aed-4123-a31b-45da36a7dcb8,resigned,resigned,re.signed,re.signed,ɹɪ.zaɪnd,ɹɪ.zaɪnd,ɹɪ.zaɪnd,ɹɪ.zaɪnd,TRUE,TRUE
00edc076-e238-40f3-adc9-e033094217e0,allowed,allowed,a.llowed,a.llowed,ə.laʊd,ə.laʊd,ə.laʊd,ə.laʊd,TRUE,TRUE
00f34eff-abb7-4293-9cb6-95b30c00a36e,washing,washings,wash.ing,wash.ings,wɑː.ʃɪŋ,wɑː.ʃɪŋ,,,FALSE,FALSE
00f86b58-0787-4097-8db7-ad9583c43d25,suite,suites,suite,suites,swiːt,swiːt,swiːts,swits,FALSE,FALSE
00f8df95-7a0b-4d85-8208-ccb30d81ca95,ingenuity,ingenuities,in.ge.nu.i.ty,in.ge.nu.i.ties,ɪn.dʒə.njuː.ə.ti,ɪn.dʒə.njuː.ə.ti,,,FALSE,FALSE
00fc7dea-9e98-4e74-89b4-1a4c7c2ffdf4,lawmaker,lawmakers,law.mak.er,law.mak.ers,lɑː.mɛɪ.kɚ,lɑː.mɛɪ.kɚ,,,FALSE,FALSE
00fdea28-71c4-49d9-b962-5fa24e79ea80,hasten,hastens,has.ten,has.tens,,,,,FALSE,FALSE
010384e1-b721-4968-a34f-7015abdac8ec,asking,asking,ask.ing,ask.ing,ˈɑː.skɪŋ,ˈɑː.skɪŋ,ˈɑː.skɪŋ,ˈɑː.skɪŋ,TRUE,TRUE
0104cd77-0811-4e62-92df-c9de7dfad951,slay,slays,slay,slays,slɛɪ,slɛɪ,slɛɪz,slɛɪz,TRUE,TRUE
01086782-8678-4906-bc87-ea8cdec18a83,barking,barking,bark.ing,bark.ing,bɑːɹk.ɪŋ,bɑːɹk.ɪŋ,bɑːɹk.ɪŋ,bɑːɹk.ɪŋ,TRUE,TRUE
010b48f1-d1e2-4cc8-80ab-93183fc68f17,degradation,degradations,deg.ra.da.tion,deg.ra.da.tions,dɛɡ.ɹə.dɛɪ.ʃən,dɛɡ.ɹə.dɛɪ.ʃən,,,FALSE,FALSE
010c6d3a-4d52-4309-a8de-60f07ab5359e,web-based,web-baseds,,,,,,,FALSE,FALSE
010cc2ea-8082-4129-94f3-2db4b9966fa9,gangster,gangsters,gang.ster,gang.sters,ɡæŋ.stɚ,ɡæŋ.stɚ,,,FALSE,FALSE
010e56f3-a56a-416d-9f18-4685b9bb2889,conveniently,convenientlies,con.ven.ient.ly,convenientlies,kən.viː.ni.ənt.li,kən.viː.ni.ənt.li,kənˈviːniəntliz,kənˈvinjəntliz,FALSE,FALSE
0116db55-df08-4419-b898-a0d1377d3793,rested,rested,rest.ed,rest.ed,ˈɹɛst.ɪd,ˈɹɛst.ɪd,ˈɹɛst.ɪd,ˈɹɛst.ɪd,TRUE,TRUE
01182807-b10e-4266-a8df-0c18d5a1772e,selling,sellings,sell.ing,sell.ings,sɛl.ɪŋ,sɛl.ɪŋ,,,FALSE,FALSE
0123bb2e-6ff9-4aa3-972a-8aed49c3053d,arab,arabs,ar.ab,ar.abs,æɹəb,ɛɪɹəb,,,FALSE,FALSE
0126682a-5a45-412b-a443-284698dacf72,bankrupt,bankrupts,bank.rupt,bank.rupts,bæŋ.kɹʌpt,bæŋ.kɹʌpt,,,FALSE,FALSE
012e4d96-1a0d-474a-ad3b-a6cb069cda00,freak,freaks,freak,freaks,fɹiːk,fɹiːk,fɹiːks,fɹiks,TRUE,FALSE
012eb798-13c4-41c8-bacc-c7209e9f0b3b,mover,movers,mov.er,mov.ers,muː.vɚ,muː.vɚ,,,FALSE,FALSE
0134c39a-0a07-49b4-a746-aa85d9651919,landslide,landslides,land.slide,land.slides,lænd.slaɪd,lænd.slaɪd,lænd.slaɪds,lænd.slaɪds,TRUE,FALSE
013514ec-dc15-4588-935f-205a4ee2fdb3,preface,prefaces,pref.ace,pref.aces,pɹɛf.ɪs,pɹɛf.ɪs,,,FALSE,FALSE
0138186c-ccf4-4caa-aa58-97f490439df5,doctoral,doctorals,doc.tor.al,doc.tor.als,dɒk.təɹ.əl,dɒk.təɹ.əl,,,FALSE,FALSE
01395c39-9834-408b-ba2e-e4dda475656f,mother,mothers,moth.er,moth.ers,mʌð.əɹ,mʌð.ɚ,mʌð.əɹz,mʌð.ɚs,TRUE,TRUE
013ed934-fc36-4b48-b6ca-3e5649bc5a13,clicked,clicked,clicked,clicked,klɪkt,klɪkt,klɪkt,klɪkt,TRUE,TRUE
014040c3-cf3b-4a33-9821-94e65fd51d9f,stovetop,stovetops,stove.top,stove.tops,ˈstəʊʊv.tɒp,ˈstəʊʊv.tɒp,ˈstəʊʊv.tɒpz,ˈstəʊʊv.tɒpz,TRUE,FALSE
014176c9-80c2-45b7-9d14-b5890bc9929d,beforehand,beforehands,be.fore.hand,be.fore.hands,bɪ.fɔːɹ.hænd,bɪ.fɔːɹ.hænd,,,FALSE,FALSE
01434e05-0a7d-4e73-bfe2-a3ad99d58c45,pinpoint,pinpoints,pin.point,pin.points,pɪn.pɔɪnt,pɪn.pɔɪnt,pɪn.pɔɪnts,pɪn.pɔɪnts,TRUE,FALSE
0144a689-cb9e-4695-b707-c0dd4e0c28e1,immunization,immunizations,im.mu.ni.za.tion,im.mu.ni.za.tions,im.jə.naɪ.zɛɪ.ʃən,im.jə.naɪ.zɛɪ.ʃən,,,FALSE,FALSE
0146733a-a6f2-422a-8355-288a6c168b22,civil,civils,civ.il,civ.ils,sɪv.əl,sɪv.əl,,,TRUE,FALSE
014ade7c-b669-4875-ba07-6e5db3c87b4e,recharge,recharges,re.charge,re.charges,ɹiː.tʃɑːɹdʒ,ɹiː.tʃɑːɹdʒ,,,FALSE,FALSE
0150fe31-0ec0-4524-9084-970714d8abb5,domain,domains,do.main,do.mains,dəʊʊ.mɛɪn,dəʊʊ.mɛɪn,,,FALSE,FALSE
015434b5-f05b-4fc4-8fd2-b9b33eeaf2cf,admit,admits,ad.mit,ad.mits,əd.mɪt,əd.mɪt,əd.mɪts,əd.mɪts,TRUE,FALSE
0154f63a-152c-4ae6-8417-4b792eb40731,aptly,aptlies,apt.ly,apt.lies,æpt.li,æpt.li,,,FALSE,FALSE
0156ad17-d267-404d-b4a5-e19cf0969cd9,historian,historians,his.to.ri.an,his.to.ri.ans,hɪ.stɔːɹ.i.ən,hɪ.stɔːɹ.i.ən,,,FALSE,FALSE
015dd8ee-468d-4be1-bce2-d0dc28b30234,default,defaults,de.fault,de.faults,dɪ.fɑːlt,dɪ.fɑːlt,,,FALSE,FALSE
0162387c-73ba-4782-88ad-3f037cc52474,elk,elks,elk,elks,ɛlk,ɛlk,ɛlks,ɛlks,FALSE,FALSE
01630b43-c29d-4616-8c04-61e91f169871,possibly,possiblies,pos.si.bly,pos.si.blies,pɒ.sə.bli,pɑː.sə.bli,,,TRUE,FALSE
016aa0ed-5059-4f97-95fe-02c1ed6e1cc2,coincide,coincides,co.in.cide,co.in.cides,kəʊʊ.ɪn.saɪd,kəʊʊ.ɪn.saɪd,,,FALSE,FALSE
016b27f0-7e79-4182-a470-14fe2a38aca8,compulsory,compulsories,com.pul.so.ry,com.pul.so.ries,kəm.pʌl.sɚ.i,kəm.pʌl.sɚ.i,,,FALSE,FALSE
016ea44c-d46e-4aaf-b75e-b51423a730f8,civilization,civilizations,civ.i.li.za.tion,civilizations,sɪv.əl.aɪ.zɛɪ.ʃən,sɪv.əl.aɪ.zɛɪ.ʃən,ˌsɪvɪlaɪˈzɛɪʃənz,ˌsɪvəlɪˈzɛɪʃənz,FALSE,FALSE
0170d452-3a5f-4547-b88d-0980261ee98a,outgrow,outgrows,out.grow,out.grows,aʊt.ɡɹəʊʊ,aʊt.ɡɹəʊʊ,,,FALSE,FALSE
0170fcda-69c5-4b9e-b2cc-e22e446041f7,squeeze,squeezes,squeeze,squeezes,skwiːz,skwiːz,ˈskwiːzɪz,ˈskwizɪz,TRUE,TRUE
0172bae5-132e-4ce8-b78e-661c510d1032,farce,farces,farce,farces,fɑːɹs,fɑːɹs,ˈfɑːsɪz,ˈfɑɹsɪz,FALSE,FALSE
0173ed52-de56-4746-b995-fa837b3a4116,preheat,preheats,pre.heat,pre.heats,pɹiː.hiːt,pɹiː.hiːt,,,FALSE,FALSE
01767279-f5c2-4268-9b34-061e0c4fa81c,tube,tubes,tube,tubes,tuːb,tuːb,tjuːbz,tubz,TRUE,TRUE
01768d05-ed70-48e5-86c5-01184ffd3dc7,scold,scolds,scold,scolds,skəʊld,skəʊʊld,skəʊldz,skəʊʊldz,FALSE,FALSE
017a9348-eb51-4baf-98e5-2bf098911f68,homeless,homelesses,home.less,home.lesses,həʊʊm.ləs,həʊʊm.ləs,,,FALSE,FALSE
017dfe4b-149f-4bb8-9a80-3d1c3b92e897,off,offs,off,offs,ɑːf,ɑːf,ɒfs,ɔfs,TRUE,FALSE
01879989-2124-4987-94c5-a24ab8b91629,correctly,correctlies,cor.rect.ly,cor.rect.lies,kə.ɹɛkt.li,kə.ɹɛkt.li,,,FALSE,FALSE
0187c70c-6ec5-410e-ba93-9cd29557006d,nickname,nicknames,nick.name,nick.names,nɪk.nɛɪm,nɪk.nɛɪm,,,FALSE,FALSE
0188b81d-13f3-4221-a4bb-104363658773,all,alls,all,alls,ɑːl,ɑːl,,,TRUE,FALSE
