engine,sentence_id,repeat,wall_s,audio_s,rtf,peak_rss_mb,voice_id,has_phoneme_timings
bookbot_adapter,s05,0,1.9073750419993305,0.592108843537415,3.2213250364648616,263.546875,convnext-tts-en/us,True
bookbot_adapter,s05,1,1.3947977909992917,0.592108843537415,2.355644247206983,278.875,convnext-tts-en/us,True
bookbot_adapter,s05,2,1.4056506250017264,0.592108843537415,2.3739733671329706,281.359375,convnext-tts-en/us,True
bookbot_adapter,s15,0,1.4107269999985874,2.4380952380952383,0.5786184960931706,252.859375,convnext-tts-en/us,True
bookbot_adapter,s15,1,1.4533420829993702,2.4380952380952383,0.5960973387302104,281.953125,convnext-tts-en/us,True
bookbot_adapter,s15,2,1.356202167000447,2.4380952380952383,0.5562547950587771,276.90625,convnext-tts-en/us,True
bookbot_adapter,s30,0,1.4149409999990894,4.08671201814059,0.3462296813962615,269.15625,convnext-tts-en/us,True
bookbot_adapter,s30,1,1.4051783329996397,4.08671201814059,0.3438408008105696,250.3125,convnext-tts-en/us,True
bookbot_adapter,s30,2,1.419849583000541,4.08671201814059,0.3474307895192863,278.5625,convnext-tts-en/us,True
bookbot_adapter,s60,0,1.4584553750009943,8.951292517006802,0.1629323778918,290.09375,convnext-tts-en/us,True
bookbot_adapter,s60,1,1.46537008300038,8.951292517006802,0.1637048594062012,295.78125,convnext-tts-en/us,True
bookbot_adapter,s60,2,1.40708099999938,8.951292517006802,0.1571930531066914,279.65625,convnext-tts-en/us,True
bookbot_adapter,s120,0,1.566878583000289,21.803537414965987,0.0718635033012937,320.953125,convnext-tts-en/us,True
bookbot_adapter,s120,1,1.5187995409996802,21.803537414965987,0.0696584004739145,292.203125,convnext-tts-en/us,True
bookbot_adapter,s120,2,1.5043110829992656,21.803537414965987,0.0689939001350626,309.765625,convnext-tts-en/us,True
zipvoice_adapter,s05,0,9.01267150000058,0.632,14.260556170886993,1278.4375,zipvoice_distill@bookbot_s15_prompt,False
zipvoice_adapter,s05,1,9.634210916001392,0.632,15.244004613926256,1281.3125,zipvoice_distill@bookbot_s15_prompt,False
zipvoice_adapter,s15,0,9.26333783299924,2.39,3.875873570292569,1266.25,zipvoice_distill@bookbot_s15_prompt,False
zipvoice_adapter,s15,1,9.068691292000947,2.39,3.794431502929267,1283.796875,zipvoice_distill@bookbot_s15_prompt,False
zipvoice_adapter,s30,0,9.80944591700063,4.335,2.262847962399223,1285.125,zipvoice_distill@bookbot_s15_prompt,False
zipvoice_adapter,s30,1,9.861221166998805,4.335,2.2747915033445913,1302.234375,zipvoice_distill@bookbot_s15_prompt,False
zipvoice_adapter,s60,0,11.304928957999437,10.656,1.0608979878002474,1431.46875,zipvoice_distill@bookbot_s15_prompt,False
zipvoice_adapter,s60,1,11.693008625001312,10.656,1.0973168754693423,1447.125,zipvoice_distill@bookbot_s15_prompt,False
zipvoice_adapter,s120,0,29.761659332998537,25.506,1.1668493426252071,2518.140625,zipvoice_distill@bookbot_s15_prompt,False
zipvoice_adapter,s120,1,30.162011874999735,25.506,1.182545749039431,2510.453125,zipvoice_distill@bookbot_s15_prompt,False
pockettts_adapter,s05,0,3.830354458999864,1.2,3.1919620491665532,801.296875,alba,False
pockettts_adapter,s05,1,3.388649832999363,1.04,3.258317147114772,794.15625,alba,False
pockettts_adapter,s05,2,3.3043123750012455,0.96,3.441992057292964,766.921875,alba,False
pockettts_adapter,s15,0,3.89923379100037,2.72,1.4335418349266065,919.234375,alba,False
pockettts_adapter,s15,1,4.035473583999192,2.8,1.441240565713997,894.109375,alba,False
pockettts_adapter,s15,2,3.749915916998362,2.56,1.464810905077485,896.34375,alba,False
pockettts_adapter,s30,0,4.356663374999698,4.8,0.9076382031249371,841.640625,alba,False
pockettts_adapter,s30,1,4.42486099999951,4.8,0.9218460416665646,796.203125,alba,False
pockettts_adapter,s30,2,4.676353958000618,5.36,0.8724540966419063,881.109375,alba,False
pockettts_adapter,s60,0,5.846964749998733,10.0,0.5846964749998733,888.96875,alba,False
pockettts_adapter,s60,1,5.832635667000432,10.32,0.5651778747093441,852.015625,alba,False
