engine,n,median_rtf,p95_rtf,median_peak_mb,max_peak_mb,has_phoneme_timings
bookbot_adapter,15,0.3462296813962615,2.628178867932537,279.65625,320.953125,True
pockettts_adapter,15,0.9076382031249371,3.3134196201682293,881.109375,933.875,False
zipvoice_adapter,10,2.268819732871907,14.801452814558587,1293.6796875,2518.140625,False
